Rennen,Tag,Datum,Uhrzeit,Meldeschluss,Teilnehmer:innenzahl,Fahrer 1,Fahrer 2,Fahrer 3,Fahrer 4,Fahrer 5,Fahrer 6,Fahrer 7,Fahrer 8
12. Herforder Frühjahrspreis,Sonntag,15.03.,,08.03.,2,Jonas B.,Tim R.,,,,,,
Werne Frühjahrs Cup,Samstag,21.03.,,16.03.,1,Paul W.,,,,,,,
Olfener Frühjahrs Cup,Sonntag,22.03.,,16.03.,1,Erik S.,,,,,,,
Rund um Merken,Sonntag,29.03.,13:40,25.03.,6,Jonas B.,Tim R.,Paul W.,Alex M.,Erik S.,Max H.,,
Großer Osterpreis von Ahrweiler,Montag,06.04.,,03.04.,3,Jonas B.,Paul W.,Max H.,,,,,
Rund in Fischeln,Sonntag,26.04.,,24.04.,5,Jonas B.,Tim R.,Alex M.,Erik S.,Paul W.,,,
75. Rund in Refrath,Donnerstag,14.05.,13:20,10.05.,4,Jonas B.,Tim R.,Alex M.,Max H.,,,,
Rund in Rheinbach — cancelled,Sonntag,28.06.,,,0,,,,,,,,
Rund um die Kö (Düsseldorf),Sonntag,09.08.,,,4,Jonas B.,Paul W.,Erik S.,Max H.,,,,
Poller Wiesen Crit Köln,Sonntag,20.09.,,,5,Jonas B.,Tim R.,Alex M.,Paul W.,Erik S.,,,
